,location,total_sqft,bath,price,bhk,encoded_loc
168,others,1798.0,3,89.0,3,230
169,Electronics City Phase 1,1475.0,3,78.29,3,76
170,others,1580.0,3,100.0,3,230
171,Dasarahalli,1295.0,2,65.0,2,64
172,Magadi Road,3600.0,6,141.0,6,155
173,Electronic City,589.0,1,27.0,1,74
174,others,1415.0,3,78.0,3,230
175,Sarjapur  Road,1787.0,3,98.29,3,194
176,Sarjapur  Road,1787.0,3,125.0,3,194
177,Koramangala,1475.0,2,90.0,3,144
178,others,2000.0,4,75.5,4,230
179,Sarjapur  Road,984.0,2,44.28,2,194
180,Devanahalli,2390.0,2,74.82,3,65
181,7th Phase JP Nagar,1080.0,2,72.0,2,6
182,others,1500.0,2,115.0,2,230
183,Hebbal,1900.0,3,119.0,3,92
184,Budigere,1153.0,2,56.4,2,52
185,others,1148.0,2,60.0,2,230
186,others,1110.0,2,55.0,2,230
187,Electronic City,1100.0,2,42.0,2,74
188,others,1500.0,2,65.0,3,230
189,others,1080.0,2,39.0,2,230
190,Vijayanagar,1933.0,3,129.0,3,220
191,Ramamurthy Nagar,3500.0,5,150.0,5,188
192,others,1060.0,2,60.0,2,230
193,others,1644.0,3,84.0,3,230
194,others,1285.0,2,72.5,2,230
195,Electronic City,1200.0,3,90.0,3,74
196,Electronic City,910.0,2,40.0,2,74
197,Kothanur,1577.0,3,70.0,3,146
198,others,4050.0,3,280.0,3,230
199,OMBR Layout,2420.0,3,185.0,3,175
200,others,1060.0,2,55.0,2,230
201,7th Phase JP Nagar,1270.0,2,93.0,2,6
202,others,1280.0,2,69.0,2,230
203,Horamavu Agara,1200.0,2,95.0,4,98
204,Sarjapur  Road,1025.0,2,36.0,2,194
205,Electronic City,1108.0,2,63.0,2,74
206,others,3045.0,3,170.0,3,230
207,Vijayanagar,1500.0,3,75.5,3,220
208,Raja Rajeshwari Nagar,1295.0,2,43.9,2,184
209,Budigere,1162.0,2,59.9,2,52
210,Sarjapur  Road,1035.0,2,49.2,2,194
211,Attibele,1600.0,4,52.8,4,21
212,others,1464.0,3,46.0,3,230
213,Hennur Road,1866.0,2,61.58,3,96
214,others,700.0,1,26.0,2,230
215,Kalena Agrahara,1804.0,3,120.0,3,121
216,Sarjapur,913.0,2,32.0,2,193
217,Talaghattapura,1868.0,3,131.0,3,208
218,Kengeri Satellite Town,883.0,2,45.0,2,136
219,Kogilu,1664.0,2,73.95,3,142
220,Hegde Nagar,2026.0,3,132.0,3,94
221,Balagere,1210.0,2,80.9,2,25
222,others,4111.0,4,250.0,4,230
223,Kadugodi,1762.0,3,91.45,3,117
224,Jigani,1252.0,3,55.0,3,113
225,Gollarapalya Hosahalli,861.0,2,34.5,2,81
226,7th Phase JP Nagar,1420.0,2,100.0,3,6
227,Electronics City Phase 1,1490.0,3,78.8,3,76
228,Bisuvanahalli,1075.0,2,46.0,3,46
229,Old Madras Road,1425.0,2,94.0,3,177
230,Kalena Agrahara,1200.0,2,40.0,2,121
231,Kaggadasapura,1280.0,2,56.0,3,118
232,others,1084.0,2,50.0,2,230
233,Kanakpura Road,1017.0,2,51.25,2,127
234,Haralur Road,1027.0,2,44.0,2,90
235,Electronic City Phase II,1069.0,2,45.0,2,75
236,Hebbal,1349.0,2,98.2,2,92
237,9th Phase JP Nagar,1005.0,2,50.0,2,8
238,Jakkur,1417.0,2,75.0,2,110
239,TC Palaya,1475.0,3,98.0,3,207
240,others,950.0,2,47.0,2,230
241,others,2000.0,4,120.0,4,230
242,Sarjapur  Road,1863.0,3,104.0,4,194
243,Singasandra,1010.0,2,29.5,2,201
244,Kalena Agrahara,1425.0,2,70.0,3,121
245,Vijayanagar,1450.0,3,100.0,3,220
246,Kothanur,1847.0,3,105.0,3,146
247,AECS Layout,1100.0,2,45.0,2,9
248,Kanakpura Road,525.0,1,26.0,1,127
249,Mallasandra,1665.0,3,95.0,3,158
250,Begur,1664.0,4,65.0,4,38
251,JP Nagar,1850.0,3,150.0,3,109
252,Panathur,1438.0,2,100.0,2,180
253,others,1560.0,3,115.0,3,230
254,Yelahanka,1350.0,2,55.55,2,226
255,Kanakpura Road,1550.0,3,67.0,3,127
256,Malleshpalya,1140.0,2,46.5,2,159
257,others,850.0,2,27.0,2,230
258,Whitefield,1280.0,2,75.0,2,224
259,Munnekollal,1170.0,2,52.0,2,164
260,others,1113.0,2,51.0,2,230
261,Hennur Road,1385.0,2,83.09,2,96
262,Electronic City,1128.0,2,65.0,2,74
263,Haralur Road,1464.0,3,56.0,3,90
264,others,1200.0,2,55.0,2,230
265,Kaval Byrasandra,1200.0,2,52.0,2,133
266,Kaggalipura,1150.0,2,55.0,3,119
267,others,1645.0,3,95.0,3,230
268,Sarjapur  Road,1000.0,2,67.0,2,194
269,Haralur Road,2650.0,4,198.0,4,90
270,6th Phase JP Nagar,1192.0,2,74.0,2,5
271,Whitefield,1173.0,2,58.0,2,224
272,Uttarahalli,1020.0,2,45.0,2,216
273,Thigalarapalya,3122.0,6,230.0,4,210
274,Somasundara Palya,1600.0,3,64.0,3,202
275,others,1200.0,2,79.0,2,230
276,others,1230.0,2,48.0,2,230
277,Devarachikkanahalli,1250.0,2,40.0,2,66
278,Kalena Agrahara,1325.0,2,76.0,2,121
279,7th Phase JP Nagar,1850.0,3,150.0,3,6
280,Kanakpura Road,525.0,2,21.53,1,127
281,Basaveshwara Nagar,1200.0,2,65.0,2,36
282,Bommasandra,1260.0,3,49.36,3,48
283,others,1800.0,3,150.0,3,230
284,Ardendale,1100.0,2,43.25,2,19
285,Harlur,1508.0,2,77.0,2,91
286,others,1592.0,3,75.0,3,230
287,Akshaya Nagar,1388.0,2,57.0,2,11
288,Electronic City Phase II,630.0,1,28.35,1,75
289,others,1762.0,3,125.0,3,230
290,others,950.0,2,50.0,2,230
291,Magadi Road,1116.0,2,50.0,2,155
292,others,1308.0,2,89.04,2,230
293,others,1200.0,3,90.0,3,230
294,Bannerghatta Road,500.0,1,18.5,1,34
295,Hennur,1075.0,2,52.0,2,95
296,Bellandur,1205.0,2,66.0,2,40
297,5th Phase JP Nagar,1075.0,2,60.0,2,4
298,KR Puram,930.0,2,39.0,2,115
299,Balagere,1380.0,2,60.0,2,25
300,Kodigehaali,1166.0,2,55.0,2,139
301,Bannerghatta Road,1050.0,2,65.0,2,34
302,Begur Road,1200.0,2,46.8,2,39
303,Lakshminarayana Pura,1600.0,2,108.0,3,153
304,Billekahalli,1935.0,3,110.0,3,44
305,8th Phase JP Nagar,451.0,1,29.9,1,7
306,Electronic City,1800.0,3,95.0,3,74
307,Jalahalli,1400.0,3,77.0,3,111
308,Hegde Nagar,1801.0,3,115.0,3,94
309,Mahadevpura,1451.0,2,90.0,2,156
310,Anekal,1200.0,1,36.0,2,17
311,Begur Road,1160.0,2,44.0,2,39
312,Kanakpura Road,950.0,2,40.0,2,127
313,others,1629.0,3,79.0,3,230
314,Vijayanagar,1826.0,3,121.0,3,220
315,7th Phase JP Nagar,1245.0,2,94.0,2,6
316,Raja Rajeshwari Nagar,1145.0,2,45.79,2,184
317,Sompura,825.0,2,33.0,2,203
318,Yeshwanthpur,1693.0,3,108.0,3,229
319,Electronics City Phase 1,1113.27,2,53.0,2,76
320,others,1460.0,2,58.0,2,230
321,Doddathoguru,1050.0,2,32.0,2,70
322,Dodda Nekkundi,1260.0,2,55.0,2,67
323,Hosur Road,1656.0,2,120.0,2,104
324,Chandapura,1208.0,3,45.0,3,55
325,Whitefield,3252.0,4,230.0,4,224
326,Battarahalli,1200.0,2,65.0,2,37
327,7th Phase JP Nagar,1175.0,2,82.0,2,6
328,others,1185.0,2,38.0,2,230
329,Kengeri,750.0,2,38.0,2,135
330,Kanakpura Road,1550.0,3,64.5,3,127
331,others,1760.0,3,88.0,3,230
332,Billekahalli,1125.0,2,62.0,2,44
333,Anandapura,1000.0,2,55.0,2,15
334,Bommasandra Industrial Area,1090.0,2,31.48,2,49
335,TC Palaya,1200.0,2,60.0,2,207
336,Budigere,1991.0,4,103.0,3,52
337,Ambalipura,1105.0,2,75.0,2,12
338,Hoodi,985.0,2,67.0,2,97
339,Balagere,1590.0,3,79.0,3,25
340,CV Raman Nagar,1120.0,2,55.0,2,53
341,others,1069.0,2,55.0,2,230
342,Marathahalli,1933.0,3,140.0,3,161
343,Hosur Road,1194.0,2,69.0,2,104
344,Brookefield,1150.0,2,69.0,2,51
345,Yelenahalli,1240.0,2,47.12,2,228
346,Raja Rajeshwari Nagar,1419.0,2,48.1,2,184
347,others,1450.0,3,55.0,3,230
348,others,1630.0,3,68.29,3,230
349,Dasanapura,708.0,1,40.0,2,63
350,Whitefield,11890.0,4,700.0,4,224
351,Bellandur,1250.0,2,76.0,2,40
352,7th Phase JP Nagar,1400.0,2,95.0,3,6
353,Sarjapur  Road,1670.0,2,57.0,3,194
354,Ardendale,1750.0,3,100.0,3,19
355,Vittasandra,1404.0,2,71.0,2,223
356,Hoodi,1715.0,2,95.0,3,97
357,Electronic City,630.0,1,34.65,1,74
358,Harlur,1752.12,3,135.0,3,91
359,Hulimavu,1650.0,3,78.0,3,105
360,Raja Rajeshwari Nagar,1295.0,2,55.47,2,184
361,Sarjapur  Road,1346.0,2,74.03,2,194
362,Hormavu,1150.0,2,55.0,2,100
363,AECS Layout,1620.0,3,98.0,3,9
364,Marathahalli,950.0,2,46.96,2,161
365,Harlur,2450.0,3,120.0,3,91
366,Electronic City Phase II,1220.0,2,35.23,3,75
367,others,850.0,2,30.0,2,230
368,Padmanabhanagar,1020.0,2,63.0,2,178
369,Chikkalasandra,1100.0,2,50.0,2,59
370,Hebbal,1760.0,2,130.0,3,92
371,Ambalipura,1800.0,3,110.0,3,12
372,Akshaya Nagar,1070.0,2,54.0,2,11
373,Vidyaranyapura,1440.0,2,95.0,2,219
374,Amruthahalli,900.0,2,40.0,2,14
375,Whitefield,1130.0,2,42.16,2,224
376,Kodigehalli,1270.0,2,98.0,2,140
377,others,1200.0,2,62.0,2,230
378,others,4800.0,4,235.0,4,230
379,others,1200.0,2,74.0,2,230
380,Subramanyapura,929.0,2,50.17,2,205
381,others,1464.0,3,56.0,3,230
382,others,2000.0,4,99.0,4,230
383,Chikkalasandra,1208.0,2,49.0,2,59
384,Hebbal Kempapura,1130.0,2,60.0,2,93
385,others,1753.0,3,120.0,3,230
386,Old Madras Road,4500.0,7,337.0,5,177
387,Hoodi,1196.0,2,94.42,2,97
388,5th Phase JP Nagar,1150.0,3,52.5,2,4
389,Electronic City,1128.0,2,63.0,2,74
390,others,1000.0,2,53.0,2,230
391,Yelahanka,1035.0,2,45.0,2,226
392,Kereguddadahalli,950.0,2,32.0,2,137
393,Bisuvanahalli,1075.0,2,36.0,3,46
394,Whitefield,1040.0,2,48.5,2,224
395,others,720.0,2,45.0,2,230
396,Lingadheeranahalli,1511.0,3,95.0,3,154
397,others,1300.0,3,58.0,3,230
398,Hoodi,1545.0,3,68.75,3,97
399,Shampura,375.0,2,26.0,1,199
400,Vidyaranyapura,1062.0,2,38.0,2,219
401,others,1115.0,2,40.0,2,230
402,JP Nagar,1000.0,2,35.0,2,109
403,Kambipura,883.0,2,45.0,2,123
404,Sarjapur  Road,1195.0,2,70.0,2,194
405,others,700.0,1,41.0,1,230
406,Vittasandra,1246.0,2,67.0,2,223
407,others,1600.0,4,80.0,4,230
408,Haralur Road,2805.0,5,154.0,4,90
409,Begur Road,1584.0,3,65.0,3,39
410,Hosur Road,1175.0,2,48.0,3,104
411,others,1595.0,3,115.0,3,230
412,others,1353.0,2,110.0,2,230
413,Electronic City,1599.0,3,125.0,3,74
414,Whitefield,1150.0,2,70.0,2,224
415,KR Puram,1155.0,2,42.74,2,115
416,others,1200.0,2,85.0,1,230
417,Thanisandra,3000.0,4,120.0,4,209
418,Ramagondanahalli,1251.0,2,47.0,2,187
419,others,1028.0,2,45.5,2,230
420,Arekere,1222.0,2,45.0,2,20
421,Bannerghatta Road,1170.0,2,66.0,3,34
422,others,1385.0,2,48.48,3,230
423,HSR Layout,1372.0,2,68.0,2,89
424,Magadi Road,1282.0,2,49.0,3,155
425,Kanakpura Road,1135.0,2,39.73,2,127
426,Whitefield,1768.0,3,101.0,3,224
427,others,1325.0,2,90.0,3,230
428,Electronic City,1599.0,3,99.0,3,74
429,Whitefield,1500.0,3,61.95,3,224
430,Uttarahalli,1286.0,2,63.0,2,216
431,Kammanahalli,2845.0,5,140.0,5,124
432,others,1600.0,2,50.0,3,230
433,Hennur Road,1915.0,2,63.77,2,96
434,Hebbal,3450.0,5,260.0,3,92
435,Munnekollal,1102.0,2,53.67,2,164
436,Yelahanka,1350.0,2,54.0,2,226
437,Banashankari,1200.0,2,42.0,3,26
438,others,1800.0,1,80.0,2,230
439,Chikkabanavar,950.0,2,40.0,2,58
440,Kanakpura Road,525.0,1,27.25,1,127
441,Attibele,656.0,2,25.0,2,21
442,others,1056.0,2,80.0,2,230
443,Bannerghatta Road,595.0,1,33.32,1,34
444,others,1080.0,2,50.0,2,230
445,7th Phase JP Nagar,2225.0,3,160.0,3,6
446,Electronics City Phase 1,1490.0,3,84.0,3,76
447,Sarjapur  Road,1550.0,3,100.0,3,194
448,Sarjapur  Road,1600.0,3,86.0,3,194
449,others,1160.0,2,55.0,2,230
450,Whitefield,4144.0,4,315.0,4,224
451,Sarjapur  Road,2100.0,3,125.0,3,194
452,Vittasandra,1404.0,2,69.3,2,223
453,others,1544.0,3,120.0,3,230
454,Banashankari Stage III,1305.0,2,58.7,3,28
455,Marathahalli,1230.0,2,80.0,2,161
456,others,1200.0,2,65.0,2,230
457,Harlur,1460.0,3,73.0,3,91
458,Gottigere,967.0,2,45.0,2,82
459,others,540.0,1,36.0,1,230
460,Hormavu,715.0,1,46.0,1,100
461,Mysore Road,1020.0,2,48.95,2,166
462,Jigani,1020.0,2,40.0,2,113
463,Koramangala,1253.0,2,102.0,2,144
464,others,1180.0,2,42.0,2,230
465,Nehru Nagar,961.0,2,38.0,2,174
466,Kanakapura,1419.0,3,75.0,3,126
467,others,1600.0,2,115.0,2,230
468,others,416.0,1,18.5,1,230
469,HSR Layout,1430.0,2,65.0,3,89
470,others,1260.0,2,45.0,2,230
471,others,1630.0,3,85.0,3,230
472,Sarjapur  Road,1249.0,3,44.71,3,194
473,Kalena Agrahara,1450.0,2,85.0,3,121
474,Konanakunte,2791.0,3,223.0,3,143
475,others,834.0,1,60.0,1,230
476,others,1125.0,4,70.0,3,230
477,Arekere,2060.0,3,140.0,3,20
478,Raja Rajeshwari Nagar,1133.0,2,49.07,2,184
479,Bisuvanahalli,1075.0,2,37.0,3,46
480,Vidyaranyapura,1200.0,2,55.0,2,219
481,Thanisandra,1075.0,2,45.8,2,209
482,Kaggadasapura,1140.0,2,40.0,2,118
483,Raja Rajeshwari Nagar,1090.0,2,42.0,2,184
484,R.T. Nagar,1500.0,4,70.0,4,182
485,Whitefield,1790.0,3,100.0,3,224
486,Hebbal,1920.0,3,134.0,3,92
487,HRBR Layout,1374.0,2,95.0,2,88
488,Bannerghatta Road,1445.0,3,95.0,3,34
489,Kanakapura,711.0,1,36.0,1,126
490,Tumkur Road,1500.0,3,95.0,3,214
491,Whitefield,1720.0,3,100.0,3,224
492,others,1400.0,3,60.0,3,230
493,Kundalahalli,1030.0,2,49.0,2,150
494,Mysore Road,1200.0,2,85.0,2,166
495,others,1375.0,3,70.0,3,230
496,Hegde Nagar,1050.0,1,56.0,2,94
497,Jalahalli,2250.0,3,160.0,3,111
498,Bellandur,1000.0,2,50.0,2,40
499,others,469.0,1,25.0,1,230
500,Marathahalli,3800.0,4,250.0,4,161
501,Kambipura,883.0,2,29.0,2,123
502,GM Palaya,1820.0,2,86.0,3,78
503,Singasandra,1440.0,2,65.0,3,201
504,others,3600.0,4,160.0,6,230
505,Mahadevpura,1225.0,2,48.0,2,156
506,Chikkalasandra,875.0,2,52.8,2,59
507,Jalahalli East,750.0,1,40.0,1,112
508,6th Phase JP Nagar,1180.0,2,80.0,2,5
509,Haralur Road,1194.0,2,47.0,2,90
510,Hennur Road,1500.0,2,62.0,3,96
511,others,1160.0,2,52.2,2,230
512,Sarjapur,1128.0,2,60.0,2,193
513,others,1220.0,2,35.23,3,230
514,Sarjapur  Road,1210.0,2,58.0,2,194
515,Kanakpura Road,1100.0,2,58.0,3,127
516,Bommasandra,1200.0,3,46.0,3,48
517,Haralur Road,3385.0,5,260.0,4,90
518,others,1641.0,3,66.0,3,230
519,Horamavu Agara,1200.0,2,45.0,2,98
520,Raja Rajeshwari Nagar,1260.0,2,67.39,2,184
521,Mahadevpura,1720.0,3,78.0,3,156
522,Yelahanka,1692.5,2,48.13,2,226
523,Yelahanka,1210.0,2,45.98,2,226
524,Bisuvanahalli,1075.0,2,45.0,3,46
525,Thanisandra,1702.0,3,130.0,3,209
526,Raja Rajeshwari Nagar,1141.0,2,38.55,2,184
527,others,2072.0,3,108.0,3,230
528,JP Nagar,7720.0,2,375.0,5,109
529,others,1200.0,2,70.0,3,230
530,others,1350.0,3,77.0,3,230
531,others,5591.0,4,445.0,4,230
532,others,1180.0,2,78.34,3,230
533,others,600.0,1,50.0,1,230
534,Bannerghatta Road,1640.0,2,120.0,3,34
535,Kodichikkanahalli,1190.0,2,57.0,3,138
536,Marathahalli,1019.0,2,49.85,2,161
537,Akshaya Nagar,1250.0,3,40.0,3,11
538,Whitefield,1140.0,2,56.0,2,224
539,Lingadheeranahalli,1683.0,3,109.0,3,154
540,Kaggadasapura,1515.0,3,83.3,3,118
541,Hoodi,2118.0,4,111.0,4,97
542,Bannerghatta Road,1380.0,3,58.0,4,34
543,Varthur Road,1083.0,2,61.75,2,218
544,others,2300.0,3,120.0,3,230
545,others,1240.0,2,60.0,2,230
546,others,1750.0,3,120.0,3,230
547,others,1230.0,2,43.48,2,230
548,Abbigere,985.0,2,40.39,2,10
549,Tindlu,1500.0,2,87.0,3,213
550,Electronic City,1125.0,2,32.49,2,74
551,others,950.0,2,44.0,2,230
552,JP Nagar,7800.0,2,548.5,5,109
553,Kothanur,1580.0,3,76.0,3,146
554,Hennur Road,2264.0,3,159.0,3,96
555,Kammasandra,810.0,2,24.5,2,125
556,others,1045.0,2,45.0,2,230
557,Hebbal,1337.0,2,82.0,2,92
558,Begur Road,1500.0,2,54.0,3,39
559,Whitefield,1640.0,4,91.0,3,224
560,others,1570.0,3,62.0,3,230
561,Gubbalala,1470.0,2,82.0,3,84
562,Kengeri,1160.0,2,40.61,2,135
563,7th Phase JP Nagar,1050.0,2,71.0,2,6
564,Bannerghatta Road,1460.0,2,90.0,3,34
565,Hulimavu,1823.0,3,100.0,3,105
566,Electronic City,1094.0,2,42.0,2,74
567,Budigere,1153.0,2,57.0,2,52
568,others,1325.0,3,57.0,3,230
569,others,1200.0,3,85.0,4,230
570,Jakkur,1590.0,2,125.0,3,110
571,others,1202.0,2,48.0,2,230
572,Haralur Road,1202.0,2,53.0,2,90
573,others,1200.0,2,62.5,2,230
574,Panathur,1688.0,3,118.0,3,180
575,Kaval Byrasandra,1020.0,2,52.0,2,133
576,Sarjapur,1185.0,2,47.0,2,193
577,Ramagondanahalli,1235.0,2,52.04,2,187
578,Banashankari,1077.0,2,37.64,2,26
579,Kengeri Satellite Town,1415.0,2,66.0,3,136
580,EPIP Zone,2330.0,3,162.0,3,73
581,Whitefield,805.0,2,35.0,2,224
582,others,425.0,1,20.03,1,230
583,Whitefield,1155.0,2,59.95,2,224
584,Anekal,656.0,2,22.0,2,17
585,others,1100.0,2,48.0,2,230
586,Mahadevpura,1150.0,2,52.0,2,156
587,Whitefield,2280.0,4,126.0,3,224
588,Hegde Nagar,1341.0,2,97.0,2,94
589,Jakkur,1279.0,2,77.0,2,110
590,Electronic City Phase II,2225.0,4,98.88,4,75
591,Thanisandra,1185.0,2,43.51,2,209
592,others,1750.0,3,85.0,3,230
593,Kudlu,1152.0,2,53.5,2,147
